timestamp_utc,power_w,aiclk_mhz,asic_temp_c
2026-09-23T01:52:06.049951+00:00,42.0,800,58.1
2026-09-23T01:52:08.302566+00:00,75.0,1350,61.9
2026-09-23T01:52:10.537842+00:00,47.0,800,61.9
